PLANILHA DE GESTÃO OPERACIONAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mesa;;Meta;;DD;Resultados Parciais;Dia;Hora;%;;Drawdown total;;;;;Lançamentos Diários;;;;;;;;;;MICRO S&P500;;;;;;;;MICRO NASDAQ;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 $50.000,00 ;; $3.000,00 ;;;;;;;; $2.500,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;DD;Quantidade de Operações                              ;;;MICRO;;;;Custos Operacionais;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;Vencedoras;Perdedoras; Zeradas;Total de Operações ;;Resultado Financeiro Bruto;;;;Pontos Stop;Position size;Financeiro;;Pontos Stop;Position size;Financeiro;;Pontos Stop;Position size;Financeiro;;Pontos Stop;Position size;Financeiro
Dias Operados;;;;1; $-   ;31/out;01:20;0,00%;;Operações Realizadas;;;;;1;2;1;0;3;; $-   ;; $3,00 ;;1;1; $5,00 ;;6;1; $30,00 ;;1;1; $2,00 ;;6;1; $12,00 
;;;;2; $-   ;01/nov;02:20;0,00%;;;;;;;2;2;2;0;4;; $-   ;; $5,00 ;;;2; $10,00 ;;;2; $60,00 ;;;2; $4,00 ;;;2; $24,00 
1;;;;3; $-   ;02/nov;03:20;0,00%;;0;;;;;3;1;1;1;3;; $-   ;; $10,00 ;;;3; $15,00 ;;;3; $90,00 ;;;3; $6,00 ;;;3; $36,00 
;;;;4; $-   ;03/nov;04:20;0,00%;;;;;;;4;4;0;0;4;; $-   ;; $3,00 ;;;5; $25,00 ;;;5; $150,00 ;;;5; $10,00 ;;;5; $60,00 
Dias Restantes;;;;5; $-   ;04/nov;05:20;0,00%;;Drawdown Diário;;;;;5;0;0;0;0;; $-   ;; $-   ;;;7; $35,00 ;;;7; $210,00 ;;;7; $14,00 ;;;7; $84,00 
;;;;6; $-   ;07/nov;06:20;0,00%;;;;;;;6;0;0;0;0;; $150,00 ;; $5,00 ;;;10; $50,00 ;;;10; $300,00 ;;;10; $20,00 ;;;10; $120,00 
22;;;;7; $-   ;08/nov;07:20;0,00%;;10,00%;;;;;7;0;0;0;0;; $100,00 ;; $2,00 ;;Pontos Stop;Position size; Financeiro ;;Pontos Stop;Position size; Financeiro ;;Pontos Stop;Position size; Financeiro ;;Pontos Stop;Position size; Financeiro 
;;;;8; $-   ;09/nov;08:20;0,00%;;;;;;;8;0;0;0;0;; $-   ;; $-   ;;2;1; $10,00 ;;7;1; $35,00 ;;2;1; $4,00 ;;7;1; $14,00 
Lucro necessário por dias restantes;;;;9; $-   ;10/nov;09:20;0,00%;;Drawdown diário;;;;;9;0;0;0;0;; $-   ;; $-   ;;;2; $20,00 ;;;2; $70,00 ;;;2; $8,00 ;;;2; $28,00 
;;;;10; $-   ;11/nov;10:20;0,00%;;;;;;;10;0;0;0;0;; $-   ;; $-   ;;;3; $30,00 ;;;3; $105,00 ;;;3; $12,00 ;;;3; $42,00 
 $126,27 ;;;;11; $-   ;12/nov;11:20;0,00%;; $250,00 ;;;;;11;0;0;0;0;; $-   ;; $-   ;;;5; $50,00 ;;;5; $175,00 ;;;5; $20,00 ;;;5; $70,00 
;;;;12; $-   ;13/nov;12:20;0,00%;;;;;;;12;0;0;0;0;; $-   ;; $-   ;;;7; $70,00 ;;;7; $245,00 ;;;7; $28,00 ;;;7; $98,00 
% da Meta Atingida;;;;13; $-   ;14/nov;13:20;0,00%;;Quantidade de Stops;;;;;13;0;0;0;0;; $-   ;; $-   ;;;10; $100,00 ;;;10; $350,00 ;;;10; $40,00 ;;;10; $140,00 
;;;;14; $-   ;15/nov;14:20;0,00%;;;;;;;14;0;0;0;0;; $-   ;; $-   ;;Pontos Stop;Position size; Financeiro ;;Pontos Stop;Position size; Financeiro ;;Pontos Stop;Position size; Financeiro ;;Pontos Stop;Position size; Financeiro 
8,33%;;;;15; $-   ;16/nov;15:20;0,00%;;3;;;;;15;0;0;0;0;; $-   ;; $-   ;;3;1; $15,00 ;;8;1; $40,00 ;;3;1; $6,00 ;;8;1; $16,00 
;;;;16; $-   ;17/nov;16:20;0,00%;;;;;;;16;0;0;0;0;; $-   ;; $-   ;;;2; $30,00 ;;;2; $80,00 ;;;2; $12,00 ;;;2; $32,00 
 Valor Atingido;;;;17; $-   ;18/nov;17:20;0,00%;;Valor de cada Stop;;;;;17;0;0;0;0;; $-   ;; $-   ;;;3; $45,00 ;;;3; $120,00 ;;;3; $18,00 ;;;3; $48,00 
;;;;18; $-   ;19/nov;18:20;0,00%;;;;;;;18;0;0;0;0;; $-   ;; $-   ;;;5; $75,00 ;;;5; $200,00 ;;;5; $30,00 ;;;5; $80,00 
 $250,00 ;;;;19; $-   ;20/nov;19:20;0,00%;; $83,33 ;;;;;19;0;0;0;0;; $-   ;; $-   ;;;7; $105,00 ;;;7; $280,00 ;;;7; $42,00 ;;;7; $112,00 
;;;;20; $-   ;21/nov;20:20;0,00%;;;;;;;20;0;0;0;0;; $-   ;; $-   ;;;10; $150,00 ;;;10; $400,00 ;;;10; $60,00 ;;;10; $160,00 
 Valor a Concluir;;;;21; $-   ;22/nov;21:20;0,00%;; Saldo em conta;;;;;21;0;0;0;0;; $-   ;; $-   ;;Pontos Stop;Position size; Financeiro ;;Pontos Stop;Position size; Financeiro ;;Pontos Stop;Position size; Financeiro ;;Pontos Stop;Position size; Financeiro 
;;;;22; $-   ;23/nov;22:20;0,00%;;;;;;;22;0;0;0;0;; $-   ;; $-   ;;4;1; $20,00 ;;9;1; $45,00 ;;4;1; $8,00 ;;9;1; $18,00 
 $2.778,00 ;;;;23; $-   ;24/nov;23:20;0,00%;; $50.222,00 ;;;;;23;0;0;0;0;; $-   ;; $-   ;;;2; $40,00 ;;;2; $90,00 ;;;2; $16,00 ;;;2; $36,00 
;;;;24; $-   ;25/nov;00:20;0,00%;;;;;;;;Total $ das operações realizadas;;;14;; $250,00 ;; $28,00 ;;;3; $60,00 ;;;3; $135,00 ;;;3; $24,00 ;;;3; $54,00 
;;;;25; $-   ;26/nov;01:20;0,00%;;;;;;;;;;;;;;;;;;5; $100,00 ;;;5; $225,00 ;;;5; $40,00 ;;;5; $90,00 
;;;;26; $-   ;27/nov;02:20;0,00%;;;;;;;INSTRUÇÕES BÁSICAS DE PREENCHIMENTO;;;;;;;;;;;7; $140,00 ;;;7; $315,00 ;;;7; $56,00 ;;;7; $126,00 
;;;;27; $-   ;28/nov;03:20;0,00%;;;;;;;;;;;;;;;;;;10; $200,00 ;;;10; $450,00 ;;;10; $80,00 ;;;10; $180,00 
;;;;28; $-   ;29/nov;04:20;0,00%;;;;;;;"1 - Preencha seus parâmetros operacionais nos campos “meta”, ""mesa"" e “drawdown” que definiu no seu plano de trading;
2 - Estabeleça o percentual de “drawdown diário” em conformidade com seu planejamento operacional;
3 - Antes de iniciar suas operações do dia, preencha o campo “dias operados” conforme o sequencial dos seus dias já trabalhados;
4 - Ao lançar valores negativos em células de valores financeiros, SEMPRE coloque o sinal matemático de subtração ( - ) ANTES dos valores;
5 - LEMBRE-SE: A eficiência da planilha DEPENDE da correta inserção das informações nas células correspondentes.";;;;;;;;;;Pontos Stop;Position size; Financeiro ;;Pontos Stop;Position size; Financeiro ;;Pontos Stop;Position size; Financeiro ;;Pontos Stop;Position size; Financeiro 
;;;;29; $-   ;30/nov;05:20;0,00%;;;;;;;;;;;;;;;;;5;1; $25,00 ;;10;1; $50,00 ;;5;1; $10,00 ;;10;1; $20,00 
;;;;30; $-   ;01/dez;06:20;0,00%;;;;;;;;;;;;;;;;;;2; $50,00 ;;;2; $100,00 ;;;2; $20,00 ;;;2; $40,00 
;;;;31; $-   ;02/dez;07:20;0,00%;;;;;;;;;;;;;;;;;;3; $75,00 ;;;3; $150,00 ;;;3; $30,00 ;;;3; $60,00 
;;;;32; $-   ;03/dez;08:20;0,00%;;;;;;;;;;;;;;;;;;5; $125,00 ;;;5; $250,00 ;;;5; $50,00 ;;;5; $100,00 
;;;;33; $-   ;04/dez;09:20;0,00%;;;;;;;;;;;;;;;;;;7; $175,00 ;;;7; $350,00 ;;;7; $70,00 ;;;7; $140,00 
;;;;34; $-   ;05/dez;10:20;0,00%;;;;;;;SE FOSSE PARA FAZER BEM FEITO, COMO VOCÊ FARIA?;;;;;;;;;;;10; $250,00 ;;;10; $500,00 ;;;10; $100,00 ;;;10; $200,00 
;;;;35; $-   ;06/dez;11:20;0,00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;36; $-   ;07/dez;12:20;0,00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;37; $-   ;08/dez;13:20;0,00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;38; $-   ;09/dez;14:20;0,00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;39; $-   ;10/dez;15:20;0,00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;40; $-   ;11/dez;16:20;0,00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;41; $-   ;12/dez;17:20;0,00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;42; $-   ;13/dez;18:20;0,00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;43; $-   ;14/dez;19:20;0,00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;44; $-   ;15/dez;20:20;0,00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;45; $-   ;16/dez;21:20;0,00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;46; $-   ;17/dez;22:20;0,00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;47; $-   ;18/dez;23:20;0,00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;48; $-   ;19/dez;00:20;0,00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;49; $-   ;20/dez;01:20;0,00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;50; $-   ;21/dez;02:20;0,00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
